gene_id	SRR1039508	SRR1039509	SRR1039512	SRR1039513	SRR1039516	SRR1039517	SRR1039520	SRR1039521
ENSG00000011009.14	461.677	488.999	494.943	299	523.075	762.237	398.475	472.644
ENSG00000011021.25	789.285	670.847	710.634	442.679	749.996	935.266	644.082	801.499
ENSG00000011028.15	18379.816	13570.042	24218.148	10940.613	18231.316	19906.958	17120.779	15608.21
ENSG00000011052.21	115.693	52.364	101.672	15.038	125.699	89.307	120.897	56.551
ENSG00000011083.10	0	0	1	1	1	0	0	0
ENSG00000011105.16	3113.912	2961.803	3346.388	2430.151	3355.049	5347.183	3917.771	4865.268
ENSG00000011114.17	374.901	590.066	601.581	274.042	560.47	421.881	1090.833	384.076
ENSG00000011132.14	212.51	225.622	249.675	132.802	257.419	309.233	191.536	215.198
ENSG00000011143.21	229.823	170.588	251.496	114.358	182.308	177.158	169.763	152.156
ENSG00000011198.12	912.444	2232.794	1230.098	1664.715	1869.225	2945.711	966.566	2764.46
ENSG00000011201.14	1.316	2.872	4.018	2.014	4.95	3.463	4.43	1.07
ENSG00000011243.21	818.943	738.536	970.36	455.462	1140.072	977.587	738.383	723.025
ENSG00000011258.18	426.051	279.623	412.192	221.664	495.099	412.009	418.76	362.355
ENSG00000011260.16	478.19	468.209	376.285	297.282	429.213	563.166	328.382	394.358
ENSG00000011275.20	1732.417	1514.692	1963.354	1098.668	2226.003	2722.246	1625.27	1679.048
ENSG00000011295.18	423.637	389.274	467.298	343.629	481.948	597.935	390.689	402.847
ENSG00000011304.24	3629.064	3884.929	3184.307	2429.164	3627.786	5614.267	3137.369	3980.61
ENSG00000011332.24	12.086	9.012	21.386	8	14.909	22.999	5	9.006
ENSG00000011347.12	189.687	104.04	167.955	60.001	237.986	155.009	255.008	100.056
ENSG00000011376.14	571.065	498.999	455.942	287.95	475.26	636.676	366.85	343
ENSG00000011405.16	1146.233	1290.9	1567.212	1124.545	1867.175	2738.109	1249.434	1702.24
ENSG00000011422.14	410.577	363.048	525.371	246.059	369.646	588.018	426.471	403.67
ENSG00000011426.13	269	241	267.083	152	284.018	322.146	211	200.122
ENSG00000011451.23	1613.112	1692.813	1670.679	935.826	1716.326	2172.381	1429.097	1433.182
ENSG00000011454.20	1902.082	1851.109	2448.745	2296.635	2371.124	3813.115	1893.306	2570.053
ENSG00000011465.20	221459.788	194072.031	426384.443	215960.408	295667.893	315210.732	382519.073	376643.141
ENSG00000011478.14	107.324	149.363	136.053	142.772	129.681	263.247	117.299	173.567
ENSG00000011485.17	841.209	1183.179	975.17	732.085	1083.175	1769.31	727.269	1162.759
ENSG00000011523.17	781.214	711.742	1069.627	583.488	1083.957	1302.155	713.58	1008.73
ENSG00000011566.17	901.516	1211.001	1307.421	1211.705	1367.99	3066.897	861.337	1749.74
ENSG00000011590.16	3	7	7	0	0	3	0	0
ENSG00000011600.14	0	1	4	3	0	0	3	2
ENSG00000011638.13	994.737	844.035	914.019	725.369	932.067	1039.363	957.632	1051.266
ENSG00000011677.15	0	1	0.895	0	1	1.998	0	0
ENSG00000012048.28	357.996	117.435	443.338	114.196	363.592	195.436	290.599	179.501
ENSG00000012061.19	1071.641	1025.594	1422.059	698.076	1394.074	1932.92	914.237	968.299
ENSG00000012124.19	2.471	2.151	0	0	4.079	4.015	0	1.325
ENSG00000012171.22	1857.521	969.632	2319.97	666.241	1405.607	1083.959	1413.782	975.864
ENSG00000012174.14	758.808	639.272	887.813	547.502	887.187	1206.423	714.602	752.331
ENSG00000012211.15	133.745	146.432	133.399	68.316	154.745	202.907	107.584	139.759
ENSG00000012223.15	0	0	0	1	4	4	0	0
ENSG00000012232.12	1158.666	1008.906	1431.528	906.354	1637.314	2025.107	1141.827	1324.246
ENSG00000012504.17	1.036	1.007	0	0	2.606	1.984	1.032	2.868
ENSG00000012660.16	2067.118	1830.999	2611.495	2250.218	2286.85	3883.439	1884.894	2674.67
ENSG00000012779.14	3.706	5.099	3.594	0	8.035	4.383	0	0
ENSG00000012817.18	1113.171	1008.932	1273.373	636.022	1408.005	1442.457	1	1
