gene_id	gene_name	SYMBOL	ENTREZID	baseMean	log2FoldChange	padj
ENSG00000100626.19	GALNT16	GALNT16	57452	590.109833043733	-1.0304796924482	1.27504754213476e-12
ENSG00000168542.20	COL3A1	COL3A1	1281	19881.8086236774	-1.12677516995504	1.46889387009695e-12
ENSG00000138669.13	PRKG2	PRKG2	5593	297.972709230702	-1.36515638372291	1.48761525628638e-12
ENSG00000115884.13	SDC1	SDC1	6382	431.847065791443	-1.00298719243131	1.53455839264786e-12
ENSG00000186469.11	GNG2	GNG2	54331	394.818990911748	-1.13373246511901	3.19740064124473e-12
ENSG00000135069.16	PSAT1	PSAT1	29968	779.800492795153	-1.25903605397835	3.69539161788368e-12
ENSG00000165272.18	AQP3	AQP3	360	133.673055271803	-2.81295667657798	3.88899138639402e-12
ENSG00000151012.14	SLC7A11	SLC7A11	23657	915.709616268495	-1.12308066397418	4.05911464500327e-12
ENSG00000163947.14	ARHGEF3	ARHGEF3	50650	568.826250343983	-1.03750075622526	4.67039349239488e-12
ENSG00000065809.14	FAM107B	FAM107B	83641	2331.97482001288	-1.06263508701595	5.75293930448605e-12
ENSG00000101265.18	RASSF2	RASSF2	9770	1668.92356769116	-1.03377043204588	8.48987146104826e-12
ENSG00000055163.23	CYFIP2	CYFIP2	26999	292.450662043271	-1.0901525006444	8.92816924170944e-12
ENSG00000072210.21	ALDH3A2	ALDH3A2	224	1020.64075181299	-1.06352541801657	9.3913103920329e-12
ENSG00000100739.13	BDKRB1	BDKRB1	623	257.23826927945	-2.01380020600138	9.94251484778038e-12
ENSG00000075240.19	GRAMD4	GRAMD4	23151	598.903634401858	-1.2016116933163	1.1187010457739e-11
ENSG00000272841.1	MAP3K4-AS1	MAP3K4-AS1	117981787	124.849590462186	-2.05765810890971	1.79414635731528e-11
ENSG00000178031.20	ADAMTSL1	ADAMTSL1	92949	1432.85683528855	-1.0161710549558	2.72346948390931e-11
ENSG00000128510.13	CPA4	CPA4	51200	165.080171412599	-2.23999332011951	3.17990891357216e-11
ENSG00000155962.15	CLIC2	CLIC2	1193	436.287400302057	-1.22291845195195	3.54857812157043e-11
ENSG00000183801.10	OLFML1	OLFML1	283298	1412.36926102714	-1.00976851567825	3.66735478671275e-11
ENSG00000183508.7	TENT5C	TENT5C	54855	90.9154943551517	-2.5634086507621	4.03374624872825e-11
ENSG00000049759.22	NEDD4L	NEDD4L	23327	1405.22597779358	-1.29366729818661	4.50540066511126e-11
ENSG00000123610.6	TNFAIP6	TNFAIP6	7130	322.104362483039	-2.50855484382391	5.38615626700068e-11
ENSG00000129682.18	FGF13	FGF13	2258	336.552938093886	-1.61824422886382	7.26964368231338e-11
ENSG00000132622.13	HSPA12B	HSPA12B	116835	71.0837989367748	-2.33563599111037	7.44626247485113e-11
ENSG00000134138.24	MEIS2	MEIS2	4212	751.282985374473	-1.02284087278129	1.02122654973719e-10
ENSG00000126861.5	OMG	OMG	4974	312.253277209608	-1.69463795043749	1.14560771157529e-10
ENSG00000126861.5	OMG	LOC101927057	101927057	312.253277209608	-1.69463795043749	1.14560771157529e-10
ENSG00000103647.15	CORO2B	CORO2B	10391	554.344519051017	-1.30597995247159	1.51956599500154e-10
ENSG00000128165.10	ADM2	ADM2	79924	64.5562202033795	-2.37632347559419	2.37301531003777e-10
ENSG00000166793.13	YPEL4	YPEL4	219539	174.998638958311	-1.35843046195649	2.89692698820149e-10
ENSG00000169855.22	ROBO1	ROBO1	6091	1848.06539999007	-1.30736807006803	3.44176895429634e-10
ENSG00000070882.15	OSBPL3	OSBPL3	26031	1141.88239341703	-1.18235098420836	3.93800942047859e-10
ENSG00000124249.8	KCNK15	KCNK15	60598	204.821612524524	-1.29887541118946	3.93800942047859e-10
ENSG00000154864.15	PIEZO2	PIEZO2	63895	163.094722725756	-2.26586584428921	4.24301794349217e-10
ENSG00000147883.14	CDKN2B	CDKN2B	1030	513.120556379751	-1.34291955180081	5.70679150843502e-10
ENSG00000196950.16	SLC39A10	SLC39A10	57181	926.575925365721	-1.0694953238921	6.97806575808957e-10
ENSG00000125398.10	SOX9	SOX9	6662	575.749261867034	-1.30094261322943	8.99756485172608e-10
ENSG00000019991.19	HGF	HGF	3082	1233.77093684497	-1.00312824966677	9.9159663293514e-10
ENSG00000171033.15	PKIA	PKIA	5569	248.45189255648	-1.28300083786513	1.18135664853598e-09
ENSG00000185338.9	SOCS1	SOCS1	8651	239.577932580723	-1.19537582174945	1.33673847160467e-09
ENSG00000077063.12	CTTNBP2	CTTNBP2	83992	347.366888750613	-1.05757657343995	1.36476832565108e-09
ENSG00000136960.15	ENPP2	ENPP2	5168	466.620429423568	-1.04974642829094	1.43973871776709e-09
