ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0050730	regulation of peptidyl-tyrosine phosphorylation	9/365	59/12778	0.152542372881356	5.34023682377525	5.72974707274236	4.08063424675136e-05	0.003202331961956	0.00249143601998492	ARHGEF2/RAP2B/FGF10/LIF/ENPP2/VEGFA/IL12A/NRG1/SFRP2	9
GO:0050803	regulation of synapse structure or activity	20/365	254/12778	0.078740157480315	2.75655269118757	4.84874129139276	4.1508439661316e-05	0.003202331961956	0.00249143601998492	AMOT/TUBA1A/EPHB2/FLRT3/LRRC15/RPS6KA5/TUBB/SLC7A11/CYFIP2/NEDD4L/CTTNBP2/LRRTM2/PAK3/EPHB3/SLITRK6/PLPPR4/RTN4RL2/LRRN1/COLQ/LRRN3	20
GO:0042476	odontogenesis	11/365	89/12778	0.123595505617978	4.32685855010005	5.40055188286764	4.41267569076417e-05	0.0033334087613981	0.0025934146603614	COL1A1/FST/FGF10/TNFRSF11B/RSPO2/AQP3/SMO/TGFB2/TFAP2A/FGFR2/JAG2	11
GO:0089718	amino acid import across plasma membrane	7/365	35/12778	0.2	7.00164383561644	6.09664491709094	4.93730408111244e-05	0.00363777560140858	0.00283021412946701	SLC6A6/SLC6A9/SLC7A11/RGS4/SLC7A5/PER2/SLC22A4	7
GO:0044057	regulation of system process	26/365	388/12778	0.0670103092783505	2.34591159440757	4.61656809587066	5.01623772946578e-05	0.00363777560140858	0.00283021412946701	TBX18/CCN3/BDKRB2/FGF10/CLIC2/FGF13/CORO2B/ADM2/ANK2/SCN1B/KCNE3/AGT/RGS4/TGFB2/PI16/ARHGAP42/CACNA1G/ADRA2A/SPTBN4/ADORA1/EGR2/WNK4/PER2/CERS1/ZNF488/TENM4	26
GO:0048839	inner ear development	14/365	142/12778	0.0985915492957746	3.45151456685317	5.03728291867092	5.48950475167741e-05	0.00390293024109456	0.00303650624034994	TBX18/SLC4A7/ALDH1A3/EPHB2/FGF10/SOX9/BMPER/SLITRK6/TGFB2/MAFB/PLPPR4/TFAP2A/FGFR2/JAG2	14
GO:0001525	angiogenesis	28/365	438/12778	0.0639269406392694	2.23796834928379	4.52076069806679	5.92925341792744e-05	0.0040156137203395	0.00312417475266638	ADAM12/RHOJ/CCN3/AMOT/EPHB2/FGF10/S1PR1/WARS1/PIK3R3/HSPA12B/ADM2/ROBO1/JUN/PLXDC1/EPHB3/HMOX1/VEGFA/IL12A/VASH2/BMPER/TGFB2/EGR3/SFRP2/NOX5/E2F7/PTGS2/FGFR2/CCL11	28
GO:0048771	tissue remodeling	14/365	143/12778	0.0979020979020979	3.4273781013507	5.00541772465883	5.9305385193168e-05	0.0040156137203395	0.00312417475266638	TMEM119/FGF10/S1PR1/LIF/LGR4/P2RX7/RASSF2/YPEL4/AGT/TGFB2/GDF5/ACP5/INPP5D/TNFRSF11A	14
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation	7/365	36/12778	0.194444444444444	6.80715372907154	5.98298997197672	5.98023003029049e-05	0.0040156137203395	0.00312417475266638	ARHGEF2/FGF10/LIF/ENPP2/VEGFA/IL12A/NRG1	7
GO:0090189	regulation of branching involved in ureteric bud morphogenesis	5/365	16/12778	0.3125	10.9400684931507	6.82201233106259	6.23225787518195e-05	0.00410875764643813	0.00319664135990194	LGR4/SOX9/SMO/VEGFA/AGT	5
