ENTREZID	stat
9509	7.53159276130803
129303	7.52812094043878
6093	7.5268792849736
388	7.50850084781441
710	7.50598042686822
50651	7.46212386571124
55299	7.43682368300324
66008	7.42490366511944
23189	7.41688281243425
65220	7.38970461631938
4356	7.38111122414206
4499	7.36992493345406
3912	7.36104108870507
9209	7.35152358532358
79670	7.34090141109288
488	7.3405035222158
3995	7.3139425582624
57506	7.31216849666641
253558	7.29786386022209
103910	7.29727465631224
168455	7.29587684760561
1847	7.2655873946558
3952	7.26518863070627
23576	7.26250532785991
5980	7.26080436626135
678	7.25879866543376
23460	7.25859646220812
387758	7.24312028691358
23531	7.22937042888967
200081	7.22401393104362
59345	7.22173628439193
5834	7.22162510720383
8483	7.21308389479097
51186	7.19643853058392
4217	7.19405541469938
9338	7.18612241325342
1265	7.18123188539143
55256	7.16543348880832
55679	7.15680388652119
79974	7.15357675238483
3148	7.1486235498047
127933	7.1474813455713
347	7.14040749274019
51114	7.13125563693651
875	7.1311056426317
10644	7.12827029838588
4643	7.118907100178
102724307	7.09580644723892
54838	7.09580644723892
55062	7.09205769358243
160851	7.07384924929501
55187	7.06533551163545
84883	7.06049429838649
23673	7.05542715222749
54039	7.05337084125507
56975	7.03373545735463
6237	6.99246710368344
11123	6.97487230434315
4637	6.97422981030354
2644	6.96530335290023
91768	6.9592551245926
2012	6.95377005788407
1890	6.95329919935579
123879	6.95293674721341
2059	6.95239241050933
23471	6.95026212356823
1316	6.93896318230566
134492	6.92998349281412
23585	6.92030843948741
23075	6.90937936248011
221749	6.90532577047501
125	6.90027962522601
60559	6.89033107034512
72	6.87734748687093
6722	6.86651188794335
64283	6.85433073492352
284119	6.80592467830057
10979	6.80105875745616
389558	6.79856089723445
57488	6.78316216201093
91056	6.77744917307653
4783	6.77666370764221
10093	6.77326246789363
7169	6.77153839175846
3732	6.76119728068923
55266	6.72283393669212
4245	6.71914414752062
10928	6.69670527876615
800	6.68444117352692
54935	6.68182532548627
51232	6.66056568644915
5019	6.64962755717472
51301	6.64264413406065
4628	6.6313230370226
11031	6.63046469632962
91608	6.62894423405995
9262	6.59908577512197
4357	6.59665172704552
57486	6.57062625257679
64689	6.56802274003387
5032	6.56066154171497
55629	6.55591781041078
136647	6.5457265752132
7465	6.54209525161701
10749	6.53935841685686
55862	6.5215674329106
54407	6.52048448820453
84144	6.51232888956154
10398	6.50962242232863
9891	6.50575461721422
9445	6.49734669845535
51092	6.49154291258058
9068	6.48886541906491
101927740	6.47127175953122
65983	6.4588676929528
91039	6.45479914606056
54918	6.44781001896504
10555	6.4472077161456
22800	6.44500885401488
10550	6.43987705726016
4205	6.43858965427879
1286	6.43485002554345
59271	6.43231137115907
6675	6.4278093825115
2356	6.42559625152483
138639	6.42558481670446
5311	6.41980580147765
4071	6.4176632299013
8819	6.41475345485034
375035	6.41189138909375
6038	6.40925956808287
25987	6.39958939949673
4329	6.39179765180662
146223	6.38956989879399
22927	6.37206977210932
81	6.36380789064555
100506403	6.3552863159551
861	6.3552863159551
1805	6.35062915938781
5310	6.34978796407254
200734	6.34259453020735
8659	6.34066786566207
85360	6.33919946070186
55766	6.31369963081486
6777	6.31213982020057
57542	6.31071755607461
7003	6.29582269240701
1734	6.2770139697819
85464	6.26455288936035
84940	6.25576812481712
10653	6.25174596435589
604	6.25128014969542
9953	6.25090321080844
404093	6.24638527091513
283383	6.24510183411655
153642	6.24162904477599
57018	6.22684572922847
84885	6.22160361566982
55526	6.21614034812488
79577	6.20822023257029
51449	6.19453539693069
3315	6.19410975526368
6510	6.18219873041145
7466	6.18021426493192
23710	6.17406100784625
5293	6.16451691430616
90522	6.1607703507466
55031	6.15623731985074
8988	6.14442393293143
137492	6.14202583052959
83941	6.13473381346932
64778	6.1339483315941
8322	6.11465687264169
114907	6.11146625259834
4862	6.11021621995209
1528	6.10351144763085
79084	6.09601238914264
60	6.09422257733905
57804	6.09229646087491
7057	6.09192454058063
116535	6.08685109693099
5905	6.08592010138284
1845	6.08096749289362
57153	6.07190321021938
4015	6.06076664388768
116138	6.05504683173028
154214	6.0534540771399
30815	6.0474844390488
23593	6.04623096344602
8707	6.04320153565845
81539	6.02798425115297
27018	6.00638993966628
51170	5.99889560001469
11228	5.99756213509357
768211	5.98806839853097
1326	5.98253201028147
2316	5.97288226510019
8934	5.96329565922765
64764	5.94845137491758
9943	5.94467746511715
203430	5.93931980365915
160760	5.93836479469236
5393	5.90877553855239
131583	5.90245573935116
64834	5.90226637416155
10659	5.90078584112018
9727	5.89227706067422
9815	5.89119005021684
25966	5.88246269296718
1760	5.87960891743724
55331	5.87794318437059
11213	5.86640803778144
7103	5.86461655654661
2643	5.8640358665428
1896	5.86254507369788
2013	5.86115726982861
2668	5.85831303758873
91252	5.8569116917342
8760	5.84982613268979
8614	5.8402372740591
54751	5.83991387352163
1879	5.82259904460935
1368	5.8219261477751
105377540	5.8146998780518
7050	5.80372037709467
284612	5.79996240636976
9805	5.79423077680951
11173	5.79415751474244
3164	5.78543728380113
10235	5.77406845136389
4170	5.77251560650014
574406	5.77251560650014
6617	5.76803917346406
8936	5.76721592459598
79652	5.76655933424057
28996	5.76408708361521
6776	5.75878418750403
220929	5.75151770211969
23243	5.75031111198013
928	5.73776250336949
162073	5.73690611065845
22883	5.73205326938255
79754	5.72521183719754
10318	5.71055487598048
8560	5.70756853886376
10010	5.69486684021764
140711	5.67594512861172
9945	5.67571173073105
5781	5.67263989010391
