gene_id	gene_name	SYMBOL	ENTREZID	baseMean	log2FoldChange	padj
ENSG00000221869.6	CEBPD	CEBPD	1052	2065.29607990302	1.54538940607158	2.32259104144188e-43
ENSG00000187193.11	MT1X	MT1X	4501	207.136248888981	3.31603167849761	1.54316525448655e-42
ENSG00000197381.20	ADARB1	ADARB1	104	1959.66946315272	2.28519220253405	1.60139730015861e-42
ENSG00000127954.15	STEAP4	STEAP4	79689	470.367740588489	4.68315202593437	1.75593083412963e-42
ENSG00000185432.14	TMT1A	TMT1A	25840	4126.47259867046	2.22564627603431	1.76323362740212e-41
ENSG00000196569.15	LAMA2	LAMA2	3908	19327.4680269557	2.21242189372185	3.95297996957782e-40
ENSG00000134686.23	PHC2	PHC2	1912	2993.33469311072	1.54333683226574	5.37784902213691e-40
ENSG00000131831.20	RAI2	RAI2	10742	1052.50939459328	1.48584954803333	1.23049617139312e-39
ENSG00000126803.10	HSPA2	HSPA2	3306	465.344655671995	2.47754022426263	2.1680215498836e-39
ENSG00000128923.13	MINDY2	MINDY2	54629	1516.92232880709	1.0029436074762	5.05729510180896e-39
ENSG00000180914.12	OXTR	OXTR	5021	555.396430848752	1.92673689327919	5.26705058085701e-38
ENSG00000123562.20	MORF4L2	MORF4L2	9643	5568.88719795063	1.0289267775735	5.72919261128401e-38
ENSG00000122035.9	RASL11A	RASL11A	387496	980.959278734109	2.25428538289757	9.09329908225739e-38
ENSG00000196975.18	ANXA4	ANXA4	307	5066.73858348314	1.14822654964323	1.30121353862434e-37
ENSG00000077684.18	JADE1	JADE1	79960	1785.75852269075	1.22750610521985	1.14392154712632e-36
ENSG00000109861.19	CTSC	CTSC	1075	4314.96749499637	1.11432565023174	5.32823833611345e-36
ENSG00000141401.14	IMPA2	IMPA2	3613	712.980660199132	2.21428641094297	5.32823833611345e-36
ENSG00000167641.13	PPP1R14A	PPP1R14A	94274	257.449643499381	3.0535275410669	5.80960932212087e-36
ENSG00000196507.13	TCEAL3	TCEAL3	85012	1033.61964708548	1.08982733108804	6.5135404174113e-36
ENSG00000163378.15	EOGT	EOGT	285203	1871.72141665006	1.30642908627901	6.66360638628146e-36
ENSG00000172403.12	SYNPO2	SYNPO2	171024	9337.83528385228	1.7406215865309	9.64857555586144e-36
ENSG00000103196.14	CRISPLD2	CRISPLD2	83716	3165.06630098184	2.61176403630856	8.59989059828957e-35
ENSG00000168309.20	FAM107A	FAM107A	11170	148.925110051793	4.4721326531904	1.5497251957381e-34
ENSG00000151726.18	ACSL1	ACSL1	2180	1496.61221044899	1.63648208000068	3.88259364399174e-34
ENSG00000149218.7	ENDOD1	ENDOD1	23052	2102.05341945138	1.9501339088289	6.80169824827676e-34
ENSG00000137767.16	SQOR	SQOR	58472	2422.4906695721	1.03017422258551	1.44835831386716e-33
ENSG00000103064.17	SLC7A6	SLC7A6	9057	1715.35827764888	1.45523318224559	1.60562074739146e-33
ENSG00000020577.16	SAMD4A	SAMD4A	23034	3165.46785965014	1.20045489095378	4.53183890455279e-33
ENSG00000187498.19	COL4A1	COL4A1	1282	2329.55474224676	1.37027822141254	5.31341745892211e-33
ENSG00000046653.16	GPM6B	GPM6B	2824	1182.11394123589	2.77681969804756	4.54629201789591e-32
ENSG00000138073.16	PREB	PREB	10113	1768.15099231124	1.15171436409292	1.03497019964603e-31
ENSG00000173918.17	C1QTNF1	C1QTNF1	114897	1015.95789336087	1.28966008663209	1.99908621632938e-31
ENSG00000146122.19	DAAM2	DAAM2	23500	2622.66023117998	1.69666676453847	5.35183276730356e-31
ENSG00000169715.16	MT1E	MT1E	4493	568.07741214932	2.23549562882248	6.42053466779041e-31
ENSG00000150907.12	FOXO1	FOXO1	2308	691.181286649589	2.230460006457	3.54023617344295e-30
ENSG00000115457.12	IGFBP2	IGFBP2	3485	1952.00295451957	2.21605811953812	6.10319781803185e-30
ENSG00000156675.18	RAB11FIP1	RAB11FIP1	80223	1551.22091764992	1.4718277520257	1.28695499031044e-29
ENSG00000185950.10	IRS2	IRS2	8660	2309.84176778402	2.12631689290307	1.39090249029735e-29
ENSG00000119138.6	KLF9	KLF9	687	1730.92802237573	2.10597349605283	2.7807970951539e-29
ENSG00000100242.18	SUN2	SUN2	25777	4010.11831635364	1.72387955178628	4.91688913213319e-29
ENSG00000099998.21	GGT5	GGT5	2687	603.362540703797	2.1579779853137	5.78077957739835e-29
ENSG00000163513.22	TGFBR2	TGFBR2	7048	13526.3107843879	1.4909218325393	8.85183233199344e-29
