ENSEMBL	ENTREZID	SYMBOL
ENSG00000278233	124907258	LOC124907258
ENSG00000278233	124907269	LOC124907269
ENSG00000278233	124907280	LOC124907280
ENSG00000278233	124907291	LOC124907291
ENSG00000278233	124907302	LOC124907302
ENSG00000278233	124907313	LOC124907313
ENSG00000278233	124907324	LOC124907324
ENSG00000278233	124907327	LOC124907327
ENSG00000278233	124907328	LOC124907328
ENSG00000278233	124907329	LOC124907329
ENSG00000278233	124907330	LOC124907330
ENSG00000278233	124907331	LOC124907331
ENSG00000278233	124907332	LOC124907332
ENSG00000278233	124907333	LOC124907333
ENSG00000278233	124907334	LOC124907334
ENSG00000278233	124907335	LOC124907335
ENSG00000278233	124907336	LOC124907336
ENSG00000278233	124907337	LOC124907337
ENSG00000278233	124907338	LOC124907338
ENSG00000278233	124907339	LOC124907339
ENSG00000278233	124907340	LOC124907340
ENSG00000278233	124907341	LOC124907341
ENSG00000278233	124907342	LOC124907342
ENSG00000278233	124907343	LOC124907343
ENSG00000278233	124907439	LOC124907439
ENSG00000278233	124907440	LOC124907440
ENSG00000278233	124907450	LOC124907450
ENSG00000278233	124907458	LOC124907458
ENSG00000278233	124907467	LOC124907467
ENSG00000278233	124907475	LOC124907475
ENSG00000278233	124907476	LOC124907476
ENSG00000278233	124907477	LOC124907477
ENSG00000278233	124907478	LOC124907478
ENSG00000278233	124907479	LOC124907479
ENSG00000278233	124907480	LOC124907480
ENSG00000278233	124907481	LOC124907481
ENSG00000278233	124907482	LOC124907482
ENSG00000278233	124907483	LOC124907483
ENSG00000278233	124907484	LOC124907484
ENSG00000278233	124907572	LOC124907572
ENSG00000278233	124907573	LOC124907573
ENSG00000278233	124907574	LOC124907574
ENSG00000278233	124907575	LOC124907575
ENSG00000278233	124907576	LOC124907576
ENSG00000278233	124907577	LOC124907577
ENSG00000278233	124907578	LOC124907578
ENSG00000278233	124907579	LOC124907579
ENSG00000278233	124907580	LOC124907580
ENSG00000278233	124907581	LOC124907581
ENSG00000278233	124907584	LOC124907584
ENSG00000278233	124907585	LOC124907585
ENSG00000278233	124907586	LOC124907586
ENSG00000278233	124907587	LOC124907587
ENSG00000278233	124907588	LOC124907588
ENSG00000278233	124907589	LOC124907589
ENSG00000278233	124907590	LOC124907590
ENSG00000278233	124907591	LOC124907591
ENSG00000278233	124907592	LOC124907592
ENSG00000278233	124907593	LOC124907593
ENSG00000278233	124907594	LOC124907594
ENSG00000278233	124907595	LOC124907595
ENSG00000278233	124907596	LOC124907596
ENSG00000278233	124907597	LOC124907597
ENSG00000278233	124907598	LOC124907598
ENSG00000278233	124907600	LOC124907600
ENSG00000278233	124907611	LOC124907611
ENSG00000278233	124907622	LOC124907622
ENSG00000278233	124907633	LOC124907633
ENSG00000278233	124907644	LOC124907644
ENSG00000278233	124907655	LOC124907655
ENSG00000278233	124907662	LOC124907662
ENSG00000278233	124907673	LOC124907673
ENSG00000278233	124907684	LOC124907684
ENSG00000278233	124907694	LOC124907694
ENSG00000278233	124907705	LOC124907705
ENSG00000278233	124907709	LOC124907709
ENSG00000278233	124907710	LOC124907710
ENSG00000278233	124907711	LOC124907711
ENSG00000278233	124907712	LOC124907712
ENSG00000278233	124907713	LOC124907713
ENSG00000278233	124907714	LOC124907714
ENSG00000278233	124907715	LOC124907715
ENSG00000278233	124907716	LOC124907716
ENSG00000278233	124907717	LOC124907717
ENSG00000278233	124907718	LOC124907718
ENSG00000278233	124907719	LOC124907719
ENSG00000278233	124907720	LOC124907720
ENSG00000278233	124907721	LOC124907721
ENSG00000278233	124908237	LOC124908237
ENSG00000278233	124908238	LOC124908238
ENSG00000278233	124908239	LOC124908239
ENSG00000278233	124908240	LOC124908240
ENSG00000278233	124908241	LOC124908241
ENSG00000278233	124908242	LOC124908242
ENSG00000278233	124908243	LOC124908243
ENSG00000278233	124908244	LOC124908244
ENSG00000278233	124908245	LOC124908245
ENSG00000278233	124908246	LOC124908246
ENSG00000278233	124908247	LOC124908247
ENSG00000278233	124908248	LOC124908248
ENSG00000278233	124908249	LOC124908249
ENSG00000278233	124908257	LOC124908257
ENSG00000278233	124908268	LOC124908268
ENSG00000278233	124908278	LOC124908278
ENSG00000278233	124908289	LOC124908289
ENSG00000278233	124908300	LOC124908300
ENSG00000278233	124908310	LOC124908310
ENSG00000278233	124908316	LOC124908316
ENSG00000278233	124908327	LOC124908327
ENSG00000278233	124908336	LOC124908336
ENSG00000278233	124908347	LOC124908347
ENSG00000278233	124908358	LOC124908358
ENSG00000278233	124908368	LOC124908368
ENSG00000278233	124908369	LOC124908369
ENSG00000278233	124908370	LOC124908370
ENSG00000278233	124908371	LOC124908371
ENSG00000278233	124908372	LOC124908372
ENSG00000278233	124908373	LOC124908373
ENSG00000278233	124908374	LOC124908374
ENSG00000278233	124908375	LOC124908375
ENSG00000278233	124908376	LOC124908376
ENSG00000278233	124908377	LOC124908377
ENSG00000278233	124908378	LOC124908378
ENSG00000278233	124908379	LOC124908379
ENSG00000278233	124908380	LOC124908380
ENSG00000278233	124908381	LOC124908381
ENSG00000278233	124908382	LOC124908382
ENSG00000278233	124908383	LOC124908383
ENSG00000278233	124908384	LOC124908384
ENSG00000278233	124908385	LOC124908385
ENSG00000278233	124908386	LOC124908386
ENSG00000278233	124908387	LOC124908387
ENSG00000278233	124908388	LOC124908388
ENSG00000278233	124908389	LOC124908389
ENSG00000278233	124908390	LOC124908390
ENSG00000278233	124908391	LOC124908391
ENSG00000278233	124908392	LOC124908392
ENSG00000278233	124908393	LOC124908393
ENSG00000278233	124908474	LOC124908474
ENSG00000278233	124908494	LOC124908494
ENSG00000278233	124908504	LOC124908504
ENSG00000278233	124908512	LOC124908512
ENSG00000278233	124908513	LOC124908513
ENSG00000278233	124908514	LOC124908514
ENSG00000278233	124908515	LOC124908515
ENSG00000278233	124908516	LOC124908516
ENSG00000278233	124908517	LOC124908517
ENSG00000278233	124908518	LOC124908518
ENSG00000278233	124908519	LOC124908519
ENSG00000278233	124908520	LOC124908520
ENSG00000278233	124908521	LOC124908521
ENSG00000278233	124908522	LOC124908522
ENSG00000278233	124908523	LOC124908523
ENSG00000278233	124908524	LOC124908524
ENSG00000278233	124908525	LOC124908525
ENSG00000278233	124908527	LOC124908527
