gene_id	gene_name	gene_type	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000131507.13	NDFIP1	protein_coding;retained_intron;protein_coding_CDS_not_defined;nonsense_mediated_decay	3035.7661619611	0.419966524059274	0.0867722777683933	4.83986977016116	1.29924239051036e-06	1.99520323102707e-05
ENSG00000148516.25	ZEB1	protein_coding;nonsense_mediated_decay;retained_intron;protein_coding_CDS_not_defined	11088.3060377654	0.396594726022814	0.0819810909863651	4.83763659706327	1.31392085126847e-06	2.01606440026439e-05
ENSG00000136141.16	LRCH1	protein_coding;retained_intron;nonsense_mediated_decay	521.74706494331	-0.57323141335308	0.11852555801192	-4.83635279148342	1.32243126606275e-06	2.02743455665594e-05
ENSG00000292165.1	SH3D19	protein_coding	4750.95009335077	0.672463279467303	0.139091942581564	4.83466739328173	1.33368437887722e-06	2.0429871765544e-05
ENSG00000011304.24	PTBP1	protein_coding;retained_intron;nonsense_mediated_decay	3643.15964128405	0.313209037224703	0.0648755830850084	4.82784157506987	1.38020821792824e-06	2.11249809302173e-05
ENSG00000149488.14	TMC2	protein_coding;nonsense_mediated_decay;retained_intron	149.175777213754	1.06565103174848	0.220904792723926	4.82402857180321	1.40687250692029e-06	2.15152253589437e-05
ENSG00000164543.9	STK17A	protein_coding;protein_coding_CDS_not_defined;retained_intron;nonsense_mediated_decay	1261.98800821927	-0.659592615043805	0.13688601630647	-4.81855366122325	1.44602636312299e-06	2.20956665171065e-05
ENSG00000179981.12	TSHZ1	protein_coding;retained_intron	649.600150551314	-0.626657934993599	0.130060966811357	-4.81818604272347	1.44869259382072e-06	2.21180672070657e-05
ENSG00000101084.21	RAB5IF	protein_coding;nonsense_mediated_decay;retained_intron	674.917016583264	0.475869788530803	0.0987863759901017	4.8171600968385	1.45615851092543e-06	2.22136498669983e-05
ENSG00000115091.14	ACTR3	protein_coding;nonsense_mediated_decay;retained_intron	3698.88832896124	0.531358486323147	0.110371967779246	4.81425217846901	1.47752132413695e-06	2.25208957495415e-05
ENSG00000152926.19	ZNF117	protein_coding;retained_intron	465.124340756302	-0.638319867939114	0.1325969150018	-4.81398732338871	1.47948196680745e-06	2.25321435407667e-05
ENSG00000145569.8	OTULINL	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay	27.7960850154731	2.94036387334497	0.611026832155675	4.81216817103023	1.49301636172252e-06	2.27194925795396e-05
ENSG00000114670.16	NEK11	protein_coding;protein_coding_CDS_not_defined;retained_intron;nonsense_mediated_decay;non_stop_decay	187.094689035698	-1.0592871829508	0.220146096302896	-4.81174638451611	1.49617138844024e-06	2.27487181074065e-05
ENSG00000117122.16	MFAP2	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay	721.832127294719	-0.642807149839495	0.133598593557447	-4.81148141400972	1.49815668510553e-06	2.27601248088415e-05
ENSG00000147140.19	NONO	protein_coding;retained_intron;protein_coding_CDS_not_defined;nonsense_mediated_decay	5215.87318307558	-0.513989762915144	0.10686652194399	-4.80964247329517	1.51200493586243e-06	2.2951587280126e-05
ENSG00000141510.21	TP53	protein_coding;retained_intron;protein_coding_CDS_not_defined;nonsense_mediated_decay	861.704909790501	-0.437875884800863	0.0910552489020567	-4.8089032766454	1.51760610653897e-06	2.30176504784363e-05
ENSG00000278730.1	ENSG00000278730	lncRNA	865.363190703522	-0.449217303445912	0.0934333651288368	-4.80788958876178	1.52531964538148e-06	2.31156171258963e-05
ENSG00000187955.15	COL14A1	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay	6771.41571427705	-0.856588946273844	0.178207472418053	-4.8066948857475	1.53445899133243e-06	2.32350125655498e-05
ENSG00000132612.19	VPS4A	protein_coding;retained_intron;protein_coding_CDS_not_defined;nonsense_mediated_decay	1503.20824640954	0.462871039275615	0.0963092038422722	4.80609350725886	1.53907936773597e-06	2.32667387929765e-05
ENSG00000163251.6	FZD5	protein_coding	53.754681840846	2.37667220164082	0.494509716449503	4.80611830785638	1.53888856121131e-06	2.32667387929765e-05
ENSG00000197879.19	MYO1C	protein_coding;retained_intron;protein_coding_CDS_not_defined;nonsense_mediated_decay	8439.75574351945	0.520667157367982	0.10838830245517	4.80372093273933	1.55743861434682e-06	2.35249826108058e-05
ENSG00000168874.16	ATOH8	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay	628.040077360237	0.76839131703384	0.160198451277252	4.79649653855894	1.61464746279251e-06	2.43691428700576e-05
ENSG00000133059.20	DSTYK	protein_coding;nonsense_mediated_decay	1699.44229885544	-0.469847714930564	0.098020590713502	-4.79335730901532	1.64013127753273e-06	2.47335017859027e-05
ENSG00000111642.18	CHD4	protein_coding;protein_coding_CDS_not_defined;retained_intron;nonsense_mediated_decay	5255.85607276733	-0.4484948442312	0.0935978858062919	-4.79171981682786	1.65357718306993e-06	2.49158792556113e-05
ENSG00000134802.20	SLC43A3	protein_coding;nonsense_mediated_decay;protein_coding_CDS_not_defined;TEC	1309.09241283353	-0.534519196531618	0.111569849796625	-4.79089285775652	1.66040777643682e-06	2.49983615230211e-05
ENSG00000293490.2	SLC66A1LP	lncRNA	300.183798358608	0.774852764357536	0.161764405377607	4.79000780517071	1.66774825849385e-06	2.50883795163467e-05
ENSG00000278788.4	SBNO2	protein_coding	789.632157396246	0.867664710380637	0.181311895056576	4.78548144957557	1.70577941464454e-06	2.56395620334989e-05
ENSG00000134046.14	MBD2	protein_coding;nonsense_mediated_decay;protein_coding_CDS_not_defined	1440.48845390836	0.538632250305133	0.112567332871487	4.78497834642725	1.71005767635305e-06	2.56829200161646e-05
ENSG00000240303.10	ACAD11	protein_coding;retained_intron;nonsense_mediated_decay;protein_coding_CDS_not_defined	1036.22789944246	-0.488701167993041	0.102148300068481	-4.78423202016493	1.71642324716611e-06	2.57575306178966e-05
ENSG00000256223.8	ZNF10	protein_coding;protein_coding_CDS_not_defined;retained_intron	258.664008551703	-0.871145978929804	0.182274059414788	-4.77931956816411	1.75889437604106e-06	2.6373397527815e-05
ENSG00000130529.18	TRPM4	protein_coding;retained_intron;nonsense_mediated_decay;protein_coding_CDS_not_defined	548.796727045041	0.511005679898315	0.10696514979678	4.77731000114672	1.77655780025409e-06	2.66165911732377e-05
ENSG00000140682.21	TGFB1I1	protein_coding;retained_intron;nonsense_mediated_decay	1869.43627651297	0.644726269824619	0.134979803311609	4.77646473032879	1.78403826703583e-06	2.67069514093715e-05
ENSG00000092969.13	TGFB2	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay	218.739157498763	-1.5946190925105	0.333924039667742	-4.77539470981831	1.79355113797339e-06	2.68275652358553e-05
ENSG00000095637.25	SORBS1	protein_coding;protein_coding_CDS_not_defined	46.3734688824493	1.75641956071299	0.368176791705535	4.77058739247681	1.8368946746266e-06	2.74536050803074e-05
ENSG00000116191.21	RALGPS2	protein_coding;retained_intron;nonsense_mediated_decay	2476.11908393088	-0.460837734345015	0.0966349651805385	-4.76885083451992	1.85279781656296e-06	2.76688477825139e-05
ENSG00000165527.10	ARF6	protein_coding	1796.35868164904	0.386808849709713	0.0811536979116329	4.766373679372	1.87571236997595e-06	2.79883623918355e-05
