gene_id	gene_name	gene_type	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000273213.4	H3-7	protein_coding;nonsense_mediated_decay	180.124701472879	-0.226525837949446	0.183034650206781	-1.23761177292677	0.215860047010994	0.464291651387468
ENSG00000204394.15	VARS1	protein_coding;retained_intron;protein_coding_CDS_not_defined;nonsense_mediated_decay	705.755813525416	0.161560871357329	0.130623821402353	1.23684079689939	0.216146192819442	0.464668926887153
ENSG00000228794.13	LINC01128	lncRNA;retained_intron	418.799332099602	0.192243091740325	0.155424898884391	1.23688735280002	0.216128905970558	0.464668926887153
ENSG00000170037.16	CNTROB	protein_coding;nonsense_mediated_decay;retained_intron	540.234865167062	-0.174401414654141	0.141039231808838	-1.23654540951075	0.216255897431649	0.464847587777163
ENSG00000197928.13	ZNF677	protein_coding;retained_intron;protein_coding_CDS_not_defined;nonsense_mediated_decay	272.487767016951	-0.196094324948515	0.158590623730709	-1.23648120131924	0.216279749164391	0.464847587777163
ENSG00000143751.12	SDE2	protein_coding	260.419623519893	-0.177394152016867	0.143484824732207	-1.23632692410467	0.216337067021842	0.464916556393996
ENSG00000179168.16	GGN	protein_coding;nonsense_mediated_decay;protein_coding_CDS_not_defined	33.9688553547133	-0.659623534827427	0.533731220293266	-1.235872120175	0.21650610172532	0.465203694491236
ENSG00000234616.11	JRK	protein_coding;protein_coding_CDS_not_defined	502.536182759375	-0.18562489224774	0.150202416761401	-1.23583159479124	0.21652116820335	0.465203694491236
ENSG00000237234.8	ENSG00000237234	lncRNA	18.4086437942383	-0.65706385127377	0.531776980386361	-1.23560040300425	0.216607134837529	0.465334143248542
ENSG00000066427.27	ATXN3	protein_coding;nonsense_mediated_decay;retained_intron;protein_coding_CDS_not_defined	430.347292938916	-0.178231139279533	0.144275212219673	-1.23535523904244	0.216698323734337	0.465421527945963
ENSG00000184967.9	NOC4L	protein_coding;protein_coding_CDS_not_defined;retained_intron;nonsense_mediated_decay	166.580319935236	0.214419954407134	0.173567030051432	1.23537260701872	0.216691862795078	0.465421527945963
ENSG00000173214.8	SLC60A2	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay	160.133263858166	0.245834066081392	0.199025787541313	1.2351870032438	0.216760915131006	0.46550170656499
ENSG00000285979.1	ENSG00000285979	lncRNA	33.1833001291916	0.521187680161368	0.422098135080356	1.23475475688171	0.216921790156189	0.465744890206939
ENSG00000287238.3	ENSG00000287238	lncRNA	56.3405753946777	-0.432138417409154	0.349981363983979	-1.23474693763676	0.216924701142075	0.465744890206939
ENSG00000015285.14	WAS	protein_coding;retained_intron	10.1822565582195	-0.794560187459447	0.643541056424771	-1.23466899201998	0.21695372064536	0.465752931506604
ENSG00000198815.11	FOXJ3	protein_coding	893.499013682519	-0.142457282613984	0.115388785005706	-1.23458516880075	0.216984931523173	0.465765674794295
ENSG00000187231.16	SESTD1	nonsense_mediated_decay;protein_coding_CDS_not_defined;protein_coding;retained_intron	1360.19463512239	-0.176256921299539	0.142800289040279	-1.23428966764782	0.217094984682755	0.465916162896594
ENSG00000290763.2	SDHAP1	lncRNA;retained_intron	370.19326257973	-0.207713250469759	0.168289546616303	-1.23426115671546	0.217105605100556	0.465916162896594
ENSG00000115459.20	ELMOD3	protein_coding;nonsense_mediated_decay;protein_coding_CDS_not_defined;retained_intron	403.165376843362	-0.204130571670926	0.165406869998245	-1.2341118097035	0.217161243469249	0.465981298864848
ENSG00000153048.13	CARHSP1	protein_coding;retained_intron;protein_coding_CDS_not_defined;nonsense_mediated_decay	1851.12114139218	0.135761700637036	0.110020289005357	1.2339696783602	0.217214203206576	0.466040672568492
ENSG00000129968.19	ABHD17A	protein_coding;retained_intron;nonsense_mediated_decay	1153.16342498157	0.142781889049255	0.115727381764566	1.23377792595125	0.217285667031135	0.466139728992986
ENSG00000189337.17	KAZN	protein_coding;retained_intron	731.502288636695	-0.210653799384504	0.170792448827585	-1.23339059092219	0.217430073729936	0.466395227411856
ENSG00000277511.3	VILMIR	lncRNA	20.5876417783863	0.596418437799055	0.483822564617444	1.23272141775909	0.217679718245323	0.466876378936779
ENSG00000102383.16	ZDHHC15	protein_coding;protein_coding_CDS_not_defined;nonsense_mediated_decay	12.6814010964882	-0.77927792678381	0.632270625649516	-1.2325069284743	0.217759780104951	0.466993742322127
ENSG00000137038.10	DMAC1	protein_coding;protein_coding_CDS_not_defined	351.763755050748	0.171432083771277	0.139131520460645	1.23215848719032	0.217889887006543	0.467218389313076
ENSG00000113209.9	PCDHB5	protein_coding	27.5974297450292	-0.547762227625234	0.444644038538925	-1.23191177694668	0.217982041635037	0.467361612943625
ENSG00000100124.17	ANKRD54	protein_coding;nonsense_mediated_decay;protein_coding_CDS_not_defined	246.366075595341	0.227828624299597	0.184961603966197	1.23176172467251	0.21803810493929	0.467363103536535
ENSG00000101365.24	IDH3B	protein_coding;retained_intron;nonsense_mediated_decay	786.520699630574	0.118687532897872	0.0963602560437088	1.23170628401024	0.218058821587103	0.467363103536535
